video_id,true_label,pred_label,direction,max_score,top3_mean,top5_mean,positive_count,positive_ratio,max_consecutive,first_positive_window,last_positive_window,mean_keypoint_confidence,min_keypoint_confidence
00026_H_A_SY_C7,1,1,SY,0.8477182984352112,0.8264384865760803,0.8159017562866211,14,0.34146341463414637,12,0,38,0.2125652955799568,0.15117467939853668
00026_H_A_SY_C8,1,1,SY,0.9690667390823364,0.9686043858528137,0.9684505462646484,17,0.4146341463414634,17,0,16,0.28518696420076417,0.20976299047470093
00028_H_A_FY_C7,1,1,FY,0.9714657664299011,0.9690847992897034,0.9668095707893372,14,0.34146341463414637,14,0,13,0.3971449958115089,0.3212944567203522
00029_H_A_SY_C6,1,1,SY,0.9236982464790344,0.9204118251800537,0.916641116142273,14,0.34146341463414637,14,0,13,0.3757648228145227,0.22322624921798706
00029_H_A_SY_C7,1,1,SY,0.9630807042121887,0.9616335034370422,0.9605358839035034,15,0.36585365853658536,12,0,26,0.33814047058907953,0.2172229290008545
00030_H_A_N_C5,0,1,N,0.66695636510849,0.657132089138031,0.6518573760986328,11,0.2682926829268293,10,15,27,0.3192110752187124,0.2452993541955948
00030_H_A_N_C7,0,0,N,0.3580958843231201,0.265041321516037,0.2275497019290924,0,0.0,0,-1,-1,0.5597479168961688,0.5045195817947388
00032_H_A_N_C6,0,0,N,0.32268083095550537,0.3216017484664917,0.3205239772796631,0,0.0,0,-1,-1,0.3089941652809701,0.27538159489631653
00034_H_A_SY_C6,1,1,SY,0.9692941308021545,0.9686409831047058,0.9678910970687866,27,0.6585365853658537,27,1,27,0.33898210416479807,0.2088325023651123
00034_H_A_SY_C8,1,1,SY,0.9799139499664307,0.979804277420044,0.9796392321586609,29,0.7073170731707317,29,0,28,0.5803688372053751,0.5409435629844666
00035_H_A_N_C6,0,0,N,0.34596794843673706,0.33023232221603394,0.32510679960250854,0,0.0,0,-1,-1,0.4502911545881411,0.4179301857948303
00035_H_A_N_C8,0,0,N,0.2072046995162964,0.19967050850391388,0.19194605946540833,0,0.0,0,-1,-1,0.6621274453837697,0.6285222172737122
00037_H_A_FY_C5,1,1,FY,0.7310584783554077,0.7072615623474121,0.6862884759902954,14,0.34146341463414637,13,0,16,0.48846696353540187,0.30619141459465027
00040_H_A_N_C7,0,0,N,0.18689869344234467,0.18260115385055542,0.1781138926744461,0,0.0,0,-1,-1,0.5914802609420404,0.5486239790916443
00043_H_A_N_C5,0,0,N,0.27720025181770325,0.2665332853794098,0.2569803297519684,0,0.0,0,-1,-1,0.3762066894915046,0.36644625663757324
00043_H_A_N_C8,0,0,N,0.3226207196712494,0.31855711340904236,0.3130303919315338,0,0.0,0,-1,-1,0.5297307793687029,0.506828784942627
00045_H_A_SY_C6,1,1,SY,0.9780216217041016,0.9776560664176941,0.9772650003433228,15,0.36585365853658536,15,0,14,0.4645937608509529,0.43571922183036804
00045_H_A_SY_C8,1,1,SY,0.9799064993858337,0.9795244336128235,0.9790722727775574,15,0.36585365853658536,15,0,14,0.32954823607351724,0.28692907094955444
00049_H_A_SY_C7,1,1,SY,0.961422324180603,0.9397104382514954,0.8796135783195496,5,0.12195121951219512,5,0,4,0.4347244261241541,0.34523335099220276
00049_H_A_SY_C8,1,1,SY,0.9735738039016724,0.9670879244804382,0.9433518648147583,8,0.1951219512195122,8,0,7,0.5017854295125822,0.4384261965751648
00050_H_A_BY_C8,1,1,BY,0.9753201603889465,0.9750210642814636,0.974638819694519,19,0.4634146341463415,19,0,18,0.365141444816822,0.32826051115989685
00053_H_A_SY_C6,1,0,SY,0.4141371548175812,0.38850605487823486,0.3732735514640808,0,0.0,0,-1,-1,0.5508263532708331,0.42816612124443054
00053_H_A_SY_C8,1,0,SY,0.34174323081970215,0.3234987258911133,0.3164273202419281,0,0.0,0,-1,-1,0.47384266809719366,0.3771106004714966
00054_H_A_N_C6,0,0,N,0.25894129276275635,0.257351279258728,0.2533054053783417,0,0.0,0,-1,-1,0.47883059993022825,0.37896960973739624
00056_H_A_SY_C6,1,1,SY,0.9746671319007874,0.9744029641151428,0.9740437269210815,20,0.4878048780487805,20,0,19,0.3441790255104623,0.26694849133491516
00056_H_A_SY_C7,1,1,SY,0.9763468503952026,0.9757843017578125,0.9749758839607239,21,0.5121951219512195,21,0,20,0.37441488955079055,0.2897059917449951
00056_H_A_SY_C8,1,1,SY,0.9718993306159973,0.9708752036094666,0.9697742462158203,23,0.5609756097560976,23,0,22,0.5656181821009008,0.48886838555336
00057_H_A_N_C8,0,0,N,0.3583914637565613,0.32779034972190857,0.3163219094276428,0,0.0,0,-1,-1,0.48468163464127517,0.4306398928165436
00059_H_A_FY_C5,1,1,FY,0.9785950779914856,0.9785521030426025,0.9784814119338989,23,0.5609756097560976,23,0,22,0.47621470399019195,0.4070330262184143
00059_H_A_FY_C7,1,1,FY,0.9780605435371399,0.9779751300811768,0.9777494668960571,24,0.5853658536585366,24,0,23,0.5179024651283171,0.40876632928848267
00060_H_A_SY_C6,1,1,SY,0.978440523147583,0.978201687335968,0.9780774116516113,16,0.3902439024390244,16,0,15,0.3091097052504377,0.2511841058731079
00061_H_A_N_C8,0,0,N,0.3774328827857971,0.3561851978302002,0.34146222472190857,0,0.0,0,-1,-1,0.5408345751646089,0.46424463391304016
00062_H_A_N_C8,0,0,N,0.14370207488536835,0.1423773169517517,0.1419091373682022,0,0.0,0,-1,-1,0.6229780403579154,0.5759633779525757
00064_H_A_SY_C5,1,1,SY,0.9538565278053284,0.9416351318359375,0.9151189923286438,7,0.17073170731707318,7,0,6,0.5611043790491616,0.5122480392456055
00064_H_A_SY_C8,1,1,SY,0.9729890823364258,0.9677111506462097,0.950649082660675,8,0.1951219512195122,8,0,7,0.525965541601181,0.38018688559532166
00065_H_A_N_C8,0,1,N,0.7365017533302307,0.7283033728599548,0.7171539068222046,18,0.43902439024390244,18,8,25,0.4322832204946658,0.3797071576118469
00066_H_A_FY_C8,1,1,FY,0.9784997701644897,0.9774429202079773,0.9761773347854614,24,0.5853658536585366,24,17,40,0.5274368190183872,0.49397385120391846
00068_H_A_N_C5,0,0,N,0.5113548636436462,0.4885963499546051,0.47840380668640137,0,0.0,0,-1,-1,0.4106866535617084,0.38125327229499817
00072_H_A_SY_C5,1,1,SY,0.8485411405563354,0.845859706401825,0.8416846394538879,23,0.5609756097560976,23,4,26,0.4322513967025571,0.3546694219112396
00075_H_A_FY_C6,1,1,FY,0.8601316213607788,0.8575446009635925,0.8524486422538757,23,0.5609756097560976,23,0,22,0.3548528690163682,0.3213774263858795
00081_H_A_N_C5,0,0,N,0.40017151832580566,0.35647180676460266,0.34252095222473145,0,0.0,0,-1,-1,0.338396611010156,0.23804111778736115
00082_H_A_FY_C8,1,1,FY,0.8004729747772217,0.7977798581123352,0.7939396500587463,13,0.3170731707317073,13,0,12,0.30219958322804147,0.26355427503585815
00083_H_A_SY_C8,1,1,SY,0.7758369445800781,0.7737511992454529,0.7706459760665894,14,0.34146341463414637,14,0,13,0.31760932614163656,0.2854650318622589
00085_H_A_FY_C7,1,1,FY,0.9771684408187866,0.9769640564918518,0.9764963388442993,23,0.5609756097560976,23,0,22,0.4168399586910155,0.33752864599227905
00088_H_A_N_C5,0,0,N,0.30718326568603516,0.279501348733902,0.2615463137626648,0,0.0,0,-1,-1,0.49798475460308356,0.30970650911331177
00089_H_A_FY_C6,1,1,FY,0.938097357749939,0.9377026557922363,0.9349013566970825,25,0.6097560975609756,25,7,31,0.5175377297692183,0.4314776062965393
00089_H_A_FY_C8,1,1,FY,0.9495353102684021,0.9495109915733337,0.9486934542655945,23,0.5609756097560976,23,7,29,0.32914874175699743,0.12929217517375946
00090_H_A_SY_C6,1,1,SY,0.9738950729370117,0.9734124541282654,0.9728512763977051,25,0.6097560975609756,25,1,25,0.5358048132280024,0.41068530082702637
00092_H_A_N_C8,0,0,N,0.40640097856521606,0.39223966002464294,0.3779301047325134,0,0.0,0,-1,-1,0.6534682904801717,0.5661460757255554
00095_H_A_N_C6,0,0,N,0.28381651639938354,0.24116547405719757,0.22441720962524414,0,0.0,0,-1,-1,0.5363779976600553,0.4232954978942871
00099_H_A_N_C8,0,0,N,0.23964959383010864,0.2316102385520935,0.2270442247390747,0,0.0,0,-1,-1,0.365390196806047,0.32694607973098755
00103_H_A_N_C5,0,1,N,0.647545337677002,0.6313130259513855,0.6240159273147583,14,0.34146341463414637,13,10,28,0.4815045442523026,0.4175754487514496
00108_H_A_SY_C6,1,1,SY,0.9616073966026306,0.961400032043457,0.9612756967544556,22,0.5365853658536586,22,0,21,0.5739947135855512,0.4736063778400421
00111_H_A_FY_C6,1,1,FY,0.9577717185020447,0.956442654132843,0.9545924067497253,21,0.5121951219512195,21,15,35,0.5983383815462996,0.5655957460403442
00113_H_A_N_C6,0,0,N,0.5665386319160461,0.5329456925392151,0.5218667387962341,2,0.04878048780487805,2,28,29,0.3869770619927383,0.26106834411621094
00114_H_A_BY_C7,1,1,BY,0.9577147364616394,0.9568789005279541,0.9539898037910461,22,0.5365853658536586,22,0,21,0.5019880133431133,0.4655623435974121
00115_H_A_FY_C7,1,1,FY,0.9561739563941956,0.9532949924468994,0.9496937990188599,17,0.4146341463414634,17,0,16,0.43255561299440337,0.3479255139827728
00116_H_A_SY_C5,1,1,SY,0.9700184464454651,0.9698616862297058,0.969545841217041,26,0.6341463414634146,26,1,26,0.6378908302725815,0.5522648692131042
00118_H_A_FY_C5,1,1,FY,0.9454928040504456,0.9425671696662903,0.9358295202255249,11,0.2682926829268293,11,0,10,0.4865010795069904,0.4417656362056732
00120_H_A_BY_C7,1,1,BY,0.9439882636070251,0.9349245429039001,0.9285662770271301,10,0.24390243902439024,10,0,9,0.5104459764027014,0.4657280445098877
00121_H_A_N_C5,0,1,N,0.7208274602890015,0.710784912109375,0.6798035502433777,16,0.3902439024390244,16,2,17,0.46330541590364965,0.3904532492160797
00122_H_A_FY_C6,1,1,FY,0.9636691808700562,0.9631969332695007,0.9622729420661926,24,0.5853658536585366,24,7,30,0.5165091709392827,0.4103873670101166
00122_H_A_FY_C7,1,1,FY,0.9693046808242798,0.9645677208900452,0.961349606513977,27,0.6585365853658537,27,7,33,0.3879212504479943,0.17338153719902039
00125_H_A_N_C6,0,0,N,0.2950907349586487,0.271801233291626,0.2566254138946533,0,0.0,0,-1,-1,0.5296670147558538,0.3222593069076538
00127_H_A_SY_C5,1,1,SY,0.8584980964660645,0.8192793726921082,0.7946298718452454,23,0.5609756097560976,23,1,23,0.5170259323061966,0.2903755009174347
00129_H_A_N_C6,0,0,N,0.3816145658493042,0.3788212835788727,0.37613600492477417,0,0.0,0,-1,-1,0.32914296410432675,0.16927428543567657
00131_H_A_SY_C5,1,1,SY,0.866324245929718,0.8170259594917297,0.7745963335037231,21,0.5121951219512195,21,9,29,0.33980956237490584,0.2585819959640503
00137_H_A_BY_C5,1,1,BY,0.8240324258804321,0.8191494941711426,0.8151887059211731,17,0.4146341463414634,17,24,40,0.5736785909024681,0.49073147773742676
00137_H_A_BY_C7,1,1,BY,0.911702036857605,0.9111599922180176,0.9089133143424988,16,0.3902439024390244,16,25,40,0.6016193657386594,0.34714603424072266
00138_H_A_FY_C5,1,1,FY,0.9769358038902283,0.9763694405555725,0.9750765562057495,16,0.3902439024390244,16,0,15,0.5706031097144615,0.47225698828697205
00138_H_A_FY_C7,1,1,FY,0.9573583006858826,0.9501571655273438,0.9397379159927368,16,0.3902439024390244,16,0,15,0.49939705322428446,0.4319007992744446
00143_H_A_BY_C7,1,1,BY,0.6623404622077942,0.6406080722808838,0.6199811697006226,12,0.2926829268292683,8,27,40,0.5079389170902532,0.36963602900505066
00144_H_A_N_C5,0,0,N,0.1795206516981125,0.1750643253326416,0.17079122364521027,0,0.0,0,-1,-1,0.4043203897592498,0.3261439800262451
00145_H_A_FY_C7,1,1,FY,0.9774091243743896,0.9772693514823914,0.9767091870307922,26,0.6341463414634146,26,1,26,0.4332275666841647,0.23942795395851135
00148_H_A_N_C5,0,0,N,0.3555060029029846,0.3397446870803833,0.3310028910636902,0,0.0,0,-1,-1,0.4792554567499859,0.43167024850845337
00148_H_A_N_C7,0,0,N,0.50123131275177,0.48837676644325256,0.4631117880344391,0,0.0,0,-1,-1,0.36888485274663785,0.2979866564273834
00152_H_A_N_C6,0,0,N,0.1838901937007904,0.17165561020374298,0.1633286476135254,0,0.0,0,-1,-1,0.4731632231212244,0.4192962944507599
00154_H_A_SY_C5,1,1,SY,0.8798351883888245,0.8749558925628662,0.8678514361381531,25,0.6097560975609756,25,8,32,0.43172767831058034,0.3785887062549591
00156_H_A_N_C6,0,0,N,0.297212690114975,0.291453093290329,0.2773148715496063,0,0.0,0,-1,-1,0.40241326573418407,0.36821576952934265
00157_H_A_FY_C5,1,1,FY,0.9770849943161011,0.9769218564033508,0.976563572883606,23,0.5609756097560976,23,8,30,0.44795415023478063,0.3122241497039795
00157_H_A_FY_C6,1,1,FY,0.9769020676612854,0.9768669605255127,0.9766899943351746,26,0.6341463414634146,26,7,32,0.5814228174163074,0.5393825173377991
00158_H_A_SY_C6,1,1,SY,0.9769788384437561,0.9765443801879883,0.976108193397522,23,0.5609756097560976,23,0,22,0.5426922469604306,0.5166975855827332
00159_H_A_BY_C8,1,1,BY,0.971656858921051,0.9712135195732117,0.9708102345466614,29,0.7073170731707317,29,2,30,0.4465367357905318,0.3108986020088196
00160_H_A_N_C6,0,0,N,0.6090229153633118,0.5336050391197205,0.4883124828338623,2,0.04878048780487805,2,5,6,0.6030465611597386,0.5918589234352112
00160_H_A_N_C7,0,1,N,0.9474475979804993,0.9405503273010254,0.9369716644287109,25,0.6097560975609756,25,3,27,0.47564397497874933,0.35547390580177307
00161_H_A_FY_C5,1,1,FY,0.9115408658981323,0.9075333476066589,0.9050540924072266,11,0.2682926829268293,11,0,10,0.24589942940851536,0.16545425355434418
00164_H_A_N_C7,0,0,N,0.4179215133190155,0.3938048779964447,0.36296603083610535,0,0.0,0,-1,-1,0.5765589199415068,0.5467186570167542
00165_H_A_FY_C6,1,1,FY,0.9702234268188477,0.9700417518615723,0.9695955514907837,21,0.5121951219512195,21,0,20,0.5883515840623437,0.5407599806785583
00167_H_A_BY_C8,1,1,BY,0.9740972518920898,0.9731743335723877,0.9722736477851868,17,0.4146341463414634,17,24,40,0.4943972244495299,0.40424346923828125
00171_H_A_BY_C6,1,1,BY,0.9693081378936768,0.9668537974357605,0.9642224311828613,24,0.5853658536585366,24,17,40,0.44645734967255013,0.4027836322784424
00171_H_A_BY_C8,1,1,BY,0.9580538868904114,0.9570052027702332,0.955614447593689,23,0.5609756097560976,23,18,40,0.5220011123796788,0.424623966217041
00172_H_A_N_C8,0,0,N,0.2848953902721405,0.27790331840515137,0.2714235484600067,0,0.0,0,-1,-1,0.6325741199458518,0.47141003608703613
00175_H_A_BY_C5,1,1,BY,0.9743907451629639,0.9740400314331055,0.9737213253974915,21,0.5121951219512195,20,0,22,0.3452582755466787,0.2219863086938858
00177_H_A_FY_C8,1,1,FY,0.8690953254699707,0.8683821558952332,0.8646512031555176,26,0.6341463414634146,26,7,32,0.3348476981244436,0.17476177215576172
00178_H_A_SY_C6,1,1,SY,0.9250491261482239,0.8423359990119934,0.7198452353477478,4,0.0975609756097561,4,0,3,0.4725604369872954,0.3111709654331207
00180_H_A_N_C6,0,0,N,0.39577147364616394,0.37556254863739014,0.352579802274704,0,0.0,0,-1,-1,0.47475436547907385,0.40402182936668396
00180_H_A_N_C7,0,1,N,0.8067672252655029,0.7349067330360413,0.6799338459968567,5,0.12195121951219512,5,22,26,0.5730337965779189,0.5490281581878662
00182_H_A_SY_C6,1,1,SY,0.9765309691429138,0.9760496020317078,0.974177360534668,11,0.2682926829268293,11,30,40,0.606226219636638,0.4657306969165802
00182_H_A_SY_C7,1,1,SY,0.9508141279220581,0.9481642842292786,0.9427406191825867,11,0.2682926829268293,11,30,40,0.663909739110528,0.5731901526451111
00193_H_A_FY_C8,1,1,FY,0.9763402342796326,0.9758234620094299,0.9753400683403015,25,0.6097560975609756,25,6,30,0.5969070835811335,0.5321101546287537
00194_H_A_SY_C8,1,1,SY,0.9771493077278137,0.976757824420929,0.9761090278625488,12,0.2926829268292683,12,0,11,0.5009763676945757,0.4777754843235016
00197_H_A_FY_C7,1,1,FY,0.9766976237297058,0.9761635661125183,0.9753373265266418,26,0.6341463414634146,26,3,28,0.45009384649555856,0.20205692946910858
00198_H_A_SY_C7,1,1,SY,0.9781047701835632,0.977925717830658,0.9777606129646301,22,0.5365853658536586,22,0,21,0.37882845358150763,0.13525357842445374
00203_H_D_BY_C7,1,1,BY,0.9713101983070374,0.9706079363822937,0.9694734811782837,28,0.6829268292682927,25,0,37,0.3693576258857076,0.2062397450208664
00203_H_D_BY_C8,1,1,BY,0.9802665114402771,0.98012775182724,0.9798712730407715,26,0.6341463414634146,26,1,26,0.6029067097640619,0.5334252119064331
00204_H_D_N_C6,0,0,N,0.23744741082191467,0.23416121304035187,0.23210588097572327,0,0.0,0,-1,-1,0.31904043802400917,0.2819276452064514
00205_H_D_FY_C5,1,1,FY,0.9750345945358276,0.9749680161476135,0.9745694994926453,25,0.6097560975609756,25,13,37,0.6150682277795745,0.5642679929733276
00205_H_D_FY_C7,1,1,FY,0.9783982038497925,0.9777930378913879,0.9763444662094116,24,0.5853658536585366,24,13,36,0.5593004124920543,0.49696749448776245
00208_H_D_N_C5,0,0,N,0.387143075466156,0.36834684014320374,0.3471410870552063,0,0.0,0,-1,-1,0.556399107706256,0.48573341965675354
00208_H_D_N_C8,0,0,N,0.33938053250312805,0.31669914722442627,0.3031715750694275,0,0.0,0,-1,-1,0.5935322555100045,0.5088979005813599
00210_H_D_SY_C5,1,1,SY,0.9737972617149353,0.9734189510345459,0.9730637669563293,25,0.6097560975609756,25,16,40,0.3854183340218009,0.186686173081398
00210_H_D_SY_C8,1,1,SY,0.9767706394195557,0.9762985110282898,0.9758514165878296,26,0.6341463414634146,26,15,40,0.6036833204874178,0.5610536932945251
00211_H_D_BY_C7,1,1,BY,0.9760411381721497,0.9757339954376221,0.9751228094100952,25,0.6097560975609756,25,10,34,0.5837163227360423,0.5325526595115662
00212_H_D_N_C8,0,0,N,0.3707660436630249,0.35619738698005676,0.34441086649894714,0,0.0,0,-1,-1,0.635071402642785,0.6149415969848633
00213_H_D_FY_C7,1,1,FY,0.8516324758529663,0.8290461897850037,0.8173913955688477,19,0.4634146341463415,18,0,19,0.30080173800631266,0.2566826641559601
00214_H_D_SY_C8,1,1,SY,0.9714139103889465,0.9711714386940002,0.9707158207893372,23,0.5609756097560976,23,10,32,0.3743063153290167,0.35497644543647766
00216_H_D_N_C8,0,0,N,0.40292391180992126,0.40091243386268616,0.39445996284484863,0,0.0,0,-1,-1,0.3542846339504893,0.3163404166698456
00217_H_D_FY_C7,1,1,FY,0.9600098133087158,0.9552307724952698,0.9499000310897827,18,0.43902439024390244,18,0,17,0.29244527947611926,0.25796055793762207
00217_H_D_FY_C8,1,0,FY,0.6507360935211182,0.6088579297065735,0.5730966329574585,3,0.07317073170731707,2,13,19,0.264872480819865,0.20561222732067108
00219_H_D_BY_C6,1,1,BY,0.9769861102104187,0.9766626358032227,0.9763501882553101,14,0.34146341463414637,14,0,13,0.5762071216978678,0.5413896441459656
00220_H_D_N_C7,0,0,N,0.3360710144042969,0.3252059519290924,0.3151814937591553,0,0.0,0,-1,-1,0.3961677282321744,0.3885796368122101
00221_H_D_FY_C8,1,1,FY,0.7844123244285583,0.7055994868278503,0.6525158882141113,7,0.17073170731707318,6,11,21,0.3078707191275387,0.21561601758003235
00223_H_D_BY_C7,1,1,BY,0.974182665348053,0.9740884304046631,0.9738084077835083,23,0.5609756097560976,23,0,22,0.3224099830883305,0.25715431571006775
00224_H_D_N_C6,0,0,N,0.42276811599731445,0.3842579424381256,0.3405318260192871,0,0.0,0,-1,-1,0.5866724325389396,0.5232260823249817
00227_H_D_BY_C7,1,1,BY,0.6512924432754517,0.5861281156539917,0.5439062118530273,3,0.07317073170731707,3,19,21,0.4022925619671984,0.30490848422050476
00233_H_D_FY_C7,1,1,FY,0.9702550768852234,0.9650642275810242,0.9638374447822571,24,0.5853658536585366,24,0,23,0.33525783187005576,0.29936498403549194
00234_H_D_SY_C6,1,1,SY,0.9791207313537598,0.9789841771125793,0.9788532257080078,25,0.6097560975609756,25,1,25,0.4697545127170842,0.3515944480895996
00239_H_D_BY_C5,1,1,BY,0.9733726382255554,0.9705763459205627,0.9685924649238586,24,0.5853658536585366,24,0,23,0.38427237693856403,0.2650994658470154
00241_H_D_FY_C8,1,1,FY,0.9609322547912598,0.9597565531730652,0.9573699831962585,25,0.6097560975609756,23,0,39,0.3438904074633994,0.28207218647003174
00242_H_D_SY_C6,1,1,SY,0.9699460864067078,0.9692831635475159,0.9684033393859863,26,0.6341463414634146,26,0,25,0.5057743547893152,0.4566245973110199
00243_H_D_BY_C5,1,1,BY,0.970945417881012,0.9701452851295471,0.9677222967147827,13,0.3170731707317073,13,0,12,0.49964473160301764,0.3645686209201813
00244_H_D_N_C7,0,0,N,0.2604902684688568,0.2578120231628418,0.2557327151298523,0,0.0,0,-1,-1,0.3781009396401847,0.36903855204582214
00246_H_D_SY_C6,1,1,SY,0.9760772585868835,0.9756022095680237,0.9750070571899414,27,0.6585365853658537,27,0,26,0.4729931289102973,0.35779884457588196
00246_H_D_SY_C7,1,1,SY,0.8946714997291565,0.888676643371582,0.8814182281494141,23,0.5609756097560976,23,0,22,0.4470750471440757,0.34552788734436035
00247_H_D_BY_C7,1,1,BY,0.9742158055305481,0.9736230373382568,0.972458004951477,24,0.5853658536585366,24,0,23,0.4601960305760546,0.33690983057022095
00248_H_D_N_C6,0,0,N,0.2688010036945343,0.2659997045993805,0.255397766828537,0,0.0,0,-1,-1,0.6019169920828285,0.5326684713363647
00249_H_D_FY_C8,1,1,FY,0.9742592573165894,0.972747802734375,0.9710842370986938,15,0.36585365853658536,15,0,14,0.5879585088753119,0.5206499099731445
00253_H_D_FY_C7,1,1,FY,0.9618813991546631,0.9610278606414795,0.959743320941925,11,0.2682926829268293,11,0,10,0.42232667963679243,0.40409502387046814
00257_H_D_FY_C6,1,1,FY,0.9648066759109497,0.9641327857971191,0.9625390768051147,26,0.6341463414634146,26,3,28,0.6823648025349873,0.6493358016014099
00260_H_D_N_C5,0,0,N,0.3427830934524536,0.3001565635204315,0.27077269554138184,0,0.0,0,-1,-1,0.6295844723538655,0.6005144119262695
00262_H_D_SY_C7,1,1,SY,0.9593584537506104,0.9560187458992004,0.9545993804931641,15,0.36585365853658536,15,0,14,0.2649025506362682,0.21916237473487854
00262_H_D_SY_C8,1,1,SY,0.872468888759613,0.871753454208374,0.8678639531135559,12,0.2926829268292683,12,0,11,0.27081738957544654,0.23617549240589142
00263_H_D_BY_C8,1,1,BY,0.962345540523529,0.9604646563529968,0.9585839509963989,13,0.3170731707317073,13,0,12,0.36374725219680043,0.3439478278160095
00264_H_D_N_C6,0,0,N,0.3778214156627655,0.3493075668811798,0.30807623267173767,0,0.0,0,-1,-1,0.7076641379333124,0.6544666886329651
00265_H_D_FY_C5,1,1,FY,0.9764024019241333,0.976269543170929,0.9761643409729004,13,0.3170731707317073,13,0,12,0.3378453469131051,0.2446698546409607
00266_H_D_SY_C6,1,1,SY,0.9733849167823792,0.9725857377052307,0.9704658389091492,14,0.34146341463414637,14,0,13,0.4950570878459186,0.3638579547405243
00266_H_D_SY_C8,1,1,SY,0.9708817005157471,0.9698843955993652,0.9685867428779602,13,0.3170731707317073,13,0,12,0.2817746757007227,0.21739357709884644
00267_H_D_BY_C6,1,1,BY,0.980032205581665,0.9799426198005676,0.979773998260498,26,0.6341463414634146,26,0,25,0.4644500148005602,0.3916343152523041
00268_H_D_N_C5,0,0,N,0.17858336865901947,0.17662806808948517,0.17330226302146912,0,0.0,0,-1,-1,0.5447315101216479,0.48445069789886475
00268_H_D_N_C8,0,0,N,0.20640549063682556,0.19435958564281464,0.1899356096982956,0,0.0,0,-1,-1,0.5897167833839975,0.5487697124481201
00269_H_D_FY_C5,1,1,FY,0.9785869717597961,0.9783973693847656,0.9779857397079468,18,0.43902439024390244,17,0,29,0.2863521964811697,0.2041015625
00269_H_D_FY_C8,1,1,FY,0.9629451632499695,0.9619607329368591,0.9615820050239563,16,0.3902439024390244,16,0,15,0.6497230042771596,0.3502920866012573
00271_H_D_BY_C8,1,1,BY,0.9474075436592102,0.9463432431221008,0.9431580305099487,19,0.4634146341463415,19,0,18,0.2916170209646225,0.23733976483345032
